,Team Name,Team url,University,Seeds,Uni seeds
0,Watermelon Waddlers,/tournaments/overwatch-winter-22/teams/watermelon-waddlers/matches,Staffordshire University,1.0,1
1,Portsmouth Paladins,/tournaments/overwatch-winter-22/teams/portsmouth-paladins/matches,University of Portsmouth,5.0,1
2,Oxford Omnics,/tournaments/overwatch-winter-22/teams/oxford-omnics/matches,Oxford University,16.0,1
3,Team 7,,,,0
4,Sheffield Dragons,/tournaments/overwatch-winter-22/teams/sheffield-dragons/matches,University of Sheffield,33.0,1
5,Durham Defenders,/tournaments/overwatch-winter-22/teams/durham-defenders/matches,Durham University,12.0,1
6,Lancaster Bombers,/tournaments/overwatch-winter-22/teams/lancaster-bombers/matches,Lancaster University,20.0,1
7,UoL Arctic Foxes,/tournaments/overwatch-winter-22/teams/uol-arctic-foxes/matches,University of Liverpool,19.0,1
8,Gaming,/tournaments/overwatch-winter-22/teams/gaming/matches,University of Southampton,18.0,1
9,MMU Minotaurs OW,/tournaments/overwatch-winter-22/teams/mmu-minotaurs-ow/matches,Manchester Metropolitan University,32.0,1
10,Hull Hornets,/tournaments/overwatch-winter-22/teams/hullhornets/matches,University of Hull,3.0,1
11,Warwick Angels,/tournaments/overwatch-winter-22/teams/warwick-angels/matches,University of Warwick,2.0,1
12,Essex Blades OW,/tournaments/overwatch-winter-22/teams/essex-blades-ow/matches,University of Essex,28.0,1
13,Warwick Angles 2022,/tournaments/overwatch-winter-22/teams/warwick-angles-2022/matches,University of Warwick,14.0,2
14,LEEM_OW v2,/tournaments/overwatch-winter-22/teams/leemow-v2/matches,University of Abertay Dundee,27.0,1
15,Royal Glizzlies,/tournaments/overwatch-winter-22/teams/royal-glizzlies/matches,"Royal Holloway, University of London",,0
16,Plymouth...,/tournaments/overwatch-winter-22/teams/plymouth-leviathans-a-team/matches,University of Plymouth,91.0,1
17,404v2,/tournaments/overwatch-winter-22/teams/404v2/matches,University of York,21.0,1
18,Leeds Gryphons,/tournaments/overwatch-winter-22/teams/leeds-gryphons/matches,University of Leeds,41.0,1
19,UWE Sea Stags,/tournaments/overwatch-winter-22/teams/uwe-sea-stags-/matches,University of the West of England,6.0,1
20,Team 41,,,,0
21,meow owoverwatch,/tournaments/overwatch-winter-22/teams/kevster-college-london/matches,King's College London,9.0,1
22,UoB Apollo,/tournaments/overwatch-winter-22/teams/uob-apollo/matches,University of Birmingham,7.0,1
23,DoughNotts 2,/tournaments/overwatch-winter-22/teams/doughnotts-2/matches,University of Nottingham,45.0,1
24,Beckett Bears,/tournaments/overwatch-winter-22/teams/beckett-bears/matches,Leeds Beckett University,60.0,1
25,Trent Thunder_Pink,/tournaments/overwatch-winter-22/teams/trent-thunderpink/matches,Nottingham Trent University,51.0,2
26,Swansea Storm Black,/tournaments/overwatch-winter-22/teams/swansea-storm-black/matches,Swansea University,35.0,1
27,UEA Bluejays,/tournaments/overwatch-winter-22/teams/uea-bluejays/matches,University of East Anglia,25.0,1
