,Team 1,University
0,UoMT1,University of Manchester
1,Keele Krakens,Keele University
2,Bristol Bottoms,University of Bristol
3,Match #90360 Winner,
4,Match #90360 Loser,
5,Always preferred...,University of Leeds
6,white foxxx,University of Glasgow
7,The Germs,University of Kent
8,Definitely Not...,University of Warwick
9,Queens Finest,University of Lincoln
10,SVGE Team 2,University of Southampton
11,KFC,Lancaster University
12,Roehampton Fairies,Roehampton University
13,samj1046,De Montfort University
14,Match #90367 Winner,
15,Grey Warwick,University of Warwick
16,Jheigar,University of Southampton
17,Match #90367 Loser,
18,APT,London School of Economics
19,Tree House,Staffordshire University
20,Ladcaster,Lancaster University
21,Kent Cuties,University of Kent
22,Leicester Lobsters,University of Leicester
23,UCL Exodus,University College London
24,Match #90369 Winner,
25,Westminster...,University of Westminster
26,Demolition,University of Hertfordshire
27,The Staffordshire...,Staffordshire University
28,Alis acrack addicts,University of Bath
29,ICUU,University of Sheffield
30,Kent Berserkes,University of Kent
31,Match #90369 Loser,
