,Team 1,University
0,UoMT1,University of Manchester
1,Always preferred...,University of Leeds
2,KFC,Lancaster University
3,Keele Krakens,Keele University
4,Ho Chi Minh City...,University of Sheffield
5,Ladcaster,Lancaster University
6,samj1046,De Montfort University
7,Grizzly Glaswegians,University of Glasgow
8,Goth Girls Ruined...,Nottingham Trent University
9,Tree House,Staffordshire University
10,Durham Defenders,Durham University
11,Queens Finest,University of Lincoln
12,Leicester Lobsters,University of Leicester
13,ICUU,University of Sheffield
14,The Staffordshire...,Staffordshire University
15,white foxxx,University of Glasgow
16,Team 33,
17,The Orangutang Gang,Loughborough University
18,Leeds Never Give Up,University of Leeds
19,Apokalypsis,University of Huddersfield
20,DerbyCraptors,University of Derby
21,Chicken Broth,University of Manchester
22,AstonApesLOLY,Aston University
23,McDonalds Esports,Lancaster University
24,Liiv Sandbrum,University of Birmingham
25,Liverpool party,University of Liverpool
26,UoM Thirds,University of Manchester
27,StefSucksLOL,University of Strathclyde
28,UEA Bluejays 2023,University of East Anglia
29,Kited By Scuttle,University of York
30,STAGS,University of St Andrews
31,Watt Wyverns,Heriot-Watt University
32,NUEL Nottingham Team,University of Nottingham
33,Broken Stopwatch,University of Leeds
34,Emotional Damage...,Heriot-Watt University
35,Aston Esports 2,Aston University
36,My Beautiful Dark...,Lancaster University
37,Bussin Bussin On...,University of Hull
38,Team 77,
39,Caster Minions,Lancaster University
40,Team Pocket Yummi...,Liverpool John Moores University
41,Sultans Esports,Lancaster University
42,DMU Drakes,De Montfort University
43,Army of the...,University of Birmingham
44,noob team,Teesside University
45,Divine Sunderland...,University of Sunderland
46,BCU Gaming,Birmingham City University
47,Pier Thressure,Aberystwyth University
48,The Washington...,UK
49,The Top Fillosophy,Newcastle University
50,QUB Cardinal,Queen's University Belfast
51,Saigon Buffalo,Durham University
52,Keele Diff,Keele University
53,Northumbria...,Northumbria University
54,DMU Team 1,De Montfort University
55,Salford Kings UwU,University of Salford
56,UoB LoL Team 3,University of Birmingham
57,Durham Dubs,Durham University
58,Next Generation...,Staffordshire University
59,The Hecarim Special,Sheffield Hallam University
60,LongDong Silvers,University of York
61,Gromp Gang,Durham University
62,Bangor Team 1,Bangor University
63,Fortnite Battle Pass,University of Lincoln
64,Team 129,
65,WE LOSE EVERY WEEK,Loughborough University
66,Poro Penguins,Nottingham Trent University
67,Hallam Inters 2023,Sheffield Hallam University
68,SHUUUUUUUUUU,Sheffield Hallam University
69,Blue Ice Peppers,University of Manchester
70,3p Rammus,Nottingham Trent University
71,Glasgow...,University of Glasgow
72,StAGS II,University of St Andrews
73,DeMoted,De Montfort University
74,VI AYE MAN,Newcastle University
75,NottVeryGood,University of Nottingham
76,Staffs Silver...,Staffordshire University
77,Durham...,Durham University
78,League Rehab,Edge Hill University
79,Lincoln League,University of Lincoln
80,Aston Esports 3,Aston University
81,Abertay Alliance,University of Abertay Dundee
82,Plastic 4,University of Abertay Dundee
83,Leeds Beckett Bears,Leeds Beckett University
84,Team 169,
85,Rubber Turkeys,Nottingham Trent University
86,Spreadsheet Esports,University of Leeds
87,Watt Wyverns Team 3,Heriot-Watt University
88,Alvin and the Jacks,University of York
89,UEA Owls,University of East Anglia
90,Bust a nott,University of Nottingham
91,Salford Lions and...,University of Salford
92,Keele Commodores,Keele University
93,Red Ryze Conspiracy,Loughborough University
94,ORNNly Fans Esport,University of Leeds
95,Team 191,
96,Bangor Team 2,Bangor University
97,icu3,University of Sheffield
