,Team 1,University
0,Pew Pew,Staffordshire University
1,TRENT WARFARE,Nottingham Trent University
2,Swansea Storm,Swansea University
3,The Golden Castles,University of Nottingham
4,Kornelijus Kuzmickas,"Royal Holloway, University of London"
5,Durham Defenders,Durham University
6,Edinburgh Eclipse,University of Edinburgh
7,Watt Wyverns,Heriot-Watt University
8,Barracudas,Bournemouth University
9,Volvic touch of...,Swansea University
10,QUB Valkyries,Queen's University Belfast
11,Warwick Esports,University of Warwick
12,Warwick Wolves,University of Warwick
13,We Wear Fox Ears,University of Leicester
14,Exeterrific,University of Exeter
15,KCL Lions,King's College London
16,Team 33,
17,Arctic Foxes,University of Liverpool
18,CES Dragons,"City, University of London"
19,NewB Castle,Newcastle University
20,Birmingham Bruhmmies,University of Birmingham
21,PORTSMOUTH PALADINS,University of Portsmouth
22,STG,University of Southampton
23,UCL Anime Girls,University College London
24,UWL Wyverns,University of West London
25,Luff n Thunder,Loughborough University
26,Anglia Ruskin...,Anglia Ruskin University
27,Cardiff Crusaders,Cardiff University
28,Byechester,University of Chichester
29,Durham Attackers,Durham University
30,Readiculously lost,University of Reading
31,Imperial C Team,Imperial College London
32,Kentucky Fried...,University of Kent
33,Team 67,
34,Edinburgh Eclipse R2,University of Edinburgh
35,UofG Grizzlies,University of Glasgow
36,University of...,University of Stirling
37,UWE Sea stags,University of the West of England
38,Hull Hornets,University of Hull
39,Calvin and the...,University of Leeds
40,Phoenix Fire,Coventry University
41,Essex Aces Oncilla,University of Essex
42,cool vibes,University of Bristol
43,Stinky Thatcher...,University of Chichester
44,Abertay...,University of Abertay Dundee
45,Lancaster NSE,Lancaster University
46,Dundee Kittens,University of Dundee
47,Bath Team 6,University of Bath
48,Cygnus Flavus,Swansea University
49,Imperial C Team 2,Imperial College London
50,Swansea Purple,Swansea University
51,Team 103,
52,UEA Bluejays,University of East Anglia
53,Bruhmmies 2...,University of Birmingham
54,aston r6,Aston University
55,Plymouth Leviathans,University of Plymouth
56,Exeterrible2,University of Exeter
57,R6 Soton B,University of Southampton
58,DMU Crimson,De Montfort University
59,Portsmouth Pandas,University of Portsmouth
60,Team 121,
61,Throwchester Hive,University of Manchester
