,Team 1,University
0,Untouchaballs,Nottingham Trent University
1,Staffordshire...,Staffordshire University
2,Team 5,
3,Olivia Rodrigo Fans,University of Leeds
4,Hallam Hammerheads,Sheffield Hallam University
5,Watt is going on,Heriot-Watt University
6,Glasgow Grizzlies,University of Glasgow
7,Lobby 75,University of Birmingham
8,Keele Leviathans,Keele University
9,Edinburgh Eclipse,University of Edinburgh
10,Lboro Clangers,Loughborough University
11,Team 23,
12,grUEA,University of East Anglia
13,Asston,Aston University
14,Salford Washed,University of Salford
15,UoB Circos,University of Birmingham
16,Staffs Sixers Red,Staffordshire University
17,Durham Defenders,Durham University
18,Strathers A,University of Strathclyde
19,University of...,University of Stirling
20,Three Big Manly Men,University of Nottingham
21,Northumbria...,Northumbria University
22,Newcastle Ninjas...,Newcastle University
23,Manchester Frenzy,University of Manchester
24,Yorkshire Tea,University of York
25,big boi 10,University of York
26,Strathers C,University of Strathclyde
27,Team 55,
28,Newcastle Nitros,Newcastle University
29,TrentyFour 7,Nottingham Trent University
30,Leic is More,University of Leicester
31,Durham Demons,Durham University
32,Glasgow FD,University of Glasgow
33,Good Soupz,University of Leeds
34,D3fenceless Durham,Durham University
35,Trenticles,Nottingham Trent University
36,Beckett Bears,Leeds Beckett University
37,Ez4Edinburgh,University of Edinburgh
38,Happier Happy...,University of Lincoln
39,Manchester Maneaters,University of Manchester
40,QUB Dynasty,Queen's University Belfast
41,Elevated Fennec,University of Birmingham
42,Trentifiable,Nottingham Trent University
43,UOS Lions,University of Sheffield
44,BCU BREEZ,Birmingham City University
45,Keele Krakens C,Keele University
46,Team 93,
47,Manchester...,University of Manchester
48,Lankers C_hamps,Lancaster University
49,Sheffield Saints,Sheffield Hallam University
50,QUB Queen Bees,Queen's University Belfast
51,AA ANGELS,Aston University
52,Edinballers,University of Edinburgh
53,GirlfriendLeic,University of Leicester
54,QUB RAMS,Queen's University Belfast
55,Own Goalers,University of Sheffield
56,Northumbria Noodles,Northumbria University
57,Lboro Echos,Loughborough University
58,Broom Broom,University of Lincoln
59,five2manny,University of Manchester
60,Peter Gryphons,University of Leeds
61,Team 123,
62,Durham Traffic...,Durham University
63,Hallam Hawks,Sheffield Hallam University
64,Liverpool Arctic...,University of Liverpool
65,HullPoint,University of Hull
66,Cookies,Northumbria University
